Collector,Site,Julian,Year,Date,DateCollector,Location,Number,OldNumber,PIT,PITnew,BurrowNo,Burrow Synonym,Lat,Long,Status,EstimatedAge,KnownAge,Sex,AgeSex,ReproSex,Mass,Clmax,Clmid,BridgeWidth,Thickness,Pltotal,Plmid,TotalLength,Concavity,Plasma,UDBA,BloodT,CaptureTime,Nasal,Nail,Pics,BKA,Nares,Eyes,EyeLids,PerioC,Conjunctive,URTDscarring,DateTrapSet,DateTrapSetJG,Comments,Comments2
Guyer,1,33408,1991,19-Jun-91,6/19/1991,Conecuh National Forest,1,1,,,NA,,NA,NA,N,16,,F,F,F,2900,25.2,,,,24.4,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33410,1991,21-Jun-91,6/21/1991,Conecuh National Forest,3,3,,,274,,31.15845700,-86.55427500,N,15,,F,JF,J,970,17.2,,,,17.2,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33854,1992,7-Sep-92,9/7/1992,Conecuh National Forest,3,3,,,274,,31.15845700,-86.55427500,R,16,,F,JF,J,1275,19.3,,,,19.1,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33410,1991,21-Jun-91,6/22/1991,Conecuh National Forest,4,4,,,221,,31.15822036,-86.55518935,N,21,,F,F,F,2350,23.4,,,,22.7,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,4,4,,,221,,31.15822036,-86.55518935,R,22,,F,F,F,,23.4,,,,22.9,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34191,1993,10-Aug-93,8/10/1993,Conecuh National Forest,4,4,,,221,,31.15822036,-86.55518935,R,23,,F,F,F,2517,23.8,,,,23.2,,,,,,,,,,,,,,,,,,,,more than 24; total length listed on line for max thickness; max thickness listed on line for total length,
Guyer,1,35650,1997,8-Aug-97,8/8/1997,Conecuh National Forest,4,4,,,294,,31.16023500,-86.55507500,R,27,,F,F,F,,24.4,,,,23.8,,,,,,,,,,,,,,,,,,,,more than 18,Coordinates missing
Goessling,1,41450,2013,25-Jun-13,20130625,Conecuh National Forest,4,4,,,BU35,,NA,NA,R,old,,F,F,F,3005.6,25.0,,200,104,22.7,26.2,,3,Y,,120,NA,Y,Y,169-175,30.58,,,,,,,24-Jun-13,20130624,BU35,Coordinates missing
Guyer,1,33412,1991,23-Jun-91,6/23/1991,Conecuh National Forest,5,5,,,262,,31.15960200,-86.55474700,N,15,15,F,F,F,2200,22.8,,,,23.1,,,,,,,,,,,,,,,,,,,,,
Guyer,1,33852,1992,5-Sep-92,9/5/1992,Conecuh National Forest,5,5,,,227,,31.16021299,-86.55488197,R,16,16,F,F,F,2816,24.6,,,,24.6,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34190,1993,9-Aug-93,8/9/1993,Conecuh National Forest,5,5,,,236,,31.15899700,-86.55492300,R,17,17,F,F,F,2856,25.0,,,,24.9,,,,,,,,,,,,,,,,,,,,,
Guyer,1,34507,1994,22-Jun-94,6/22/1994,Conecuh National Forest,5,5,,,238,,31.15855400,-86.55437000,R,18,18,F,F,F,2693,24.5,,,,24.8,,,,,,,,,,,,,,,,,,,,"max thickness listed as 24.8, but that was entered because it appears to be a second measure of total length",
Guyer,1,34514,1994,29-Jun-94,6/29/1994,Conecuh National Forest,5,5,,,245,,31.15884800,-86.55454900,R,18,18,F,F,F,2780,24.9,,,,24.8,,,,,,,,,,,,,,,,,,,,,
